Country (In thousand 60-kg bags),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,414.5930184,756.1850347,960.0820413,535.4880203,380.9950083,228.6660055,162.6780051,222.1238083,209.6159091,398.479722,408.5016134,439.7496145,528.1805193,620.4872241,543.3324164,805.5127949,991.1813786,1119.797042,991.6798775,414.5181844,463.3459702,365.1472623,303.589908,310.8708473,386.3713576,377.5517359,307.6914777,308.2931411,257.4135488,274.1619791
Belgium,,,,,,,,,,2168.513037,2357.255019,2324.393913,2307.871814,2238.195454,2572.069127,2905.18732,3067.270892,2910.535066,6142.156105,4981.207707,5053.064814,4893.973633,4753.595285,4256.978879,3952.812466,4459.903535,4550.04536,4377.324264,4377.326748,5013.520188
Luxembourg,890.8440337,1038.068039,1131.478041,1273.823045,1304.258046,1328.483041,1487.186551,1658.115555,2270.271439,,,,,,,,,,,,,,,,,,,,,
Bulgaria,166.4,183.459,7.3530002,70.4880001,109.9040006,122.0100008,25.685,19.2360001,17.9619999,3.8765997,5.6421993,4.5053997,2.8633,3.0463,2.6580957,10.5001838,14.1691673,29.1713402,72.4877959,113.7198848,133.0140903,121.9904582,183.8838149,190.8798212,244.4727217,275.4994882,326.8140544,291.8707366,311.5245159,361.8300649
Croatia,,,33.6450014,30.8840013,29.5880012,31.6510013,17.367,23.9010009,19.321001,14.9150007,17.2580008,15.3210006,16.0520007,17.1460008,18.3822922,17.8464805,17.9887115,27.430213,28.1839911,28.4109874,23.9868757,23.7208153,24.1262407,26.2867961,51.2135581,62.5539035,99.0814808,77.9684384,85.5762211,85.9117545
Cyprus,16.2829999,7.2290003,3.5720001,1.8959997,1.467,1.0910001,0.7609999,0.8449999,0.5729999,1.5172999,0.741,4.1554,4.2500998,5.7015999,6.5413997,9.4505991,17.5385697,1.6837432,0.231323,,2.1377998,0.0712285,0.973149,1.6845543,8.4081834,2.5774167,3.6729326,1.6965126,1.2149501,23.2603001
Czech Republic,,,2.5749985,65.8820013,45.0730028,41.7430019,50.3059996,75.645004,241.4310046,169.9894309,248.7159804,266.2019675,246.3516514,351.4029901,324.191553,406.9477268,309.4647885,358.1178833,415.9140059,404.8578427,480.9902502,379.9081247,441.3966155,546.4569257,824.5069852,1359.471411,973.3446648,702.7941079,745.5644342,766.2201014
Denmark,93.9660043,74.2150035,102.7880053,103.3910034,124.7010013,119.3620039,110.9852031,140.6133057,160.0631077,224.914409,231.1543072,234.5622067,271.2081083,277.5429089,270.6041067,198.8101461,181.6691693,200.9139885,212.0211074,183.5935986,208.1521442,146.6111124,113.2746678,98.9991173,105.3955838,109.3770105,152.4568042,119.6739743,128.4561954,129.7925377
Estonia,,,3.4690002,6.9589992,19.9340031,24.6299981,32.7039963,42.2529983,45.1280001,35.6599986,7.9660004,53.9859983,8.8936037,19.4440007,47.2084019,76.4759554,87.4814269,175.9745772,180.523371,233.7785853,158.0874835,100.2413229,53.2542765,36.1579013,13.5215631,7.1445661,13.4802672,24.5256485,20.6950076,25.3390637
Finland,18.7060002,20.513,35.0330012,197.5920068,217.4950079,96.8210038,171.6317068,205.0960062,185.5702054,215.4710066,171.8920053,147.6300032,118.7490056,121.9041057,128.6228059,54.2005817,121.1351139,150.1266568,169.8727325,184.8575899,193.3192281,193.5379902,155.8070559,180.830527,183.3193541,210.7429477,241.5549169,297.9902161,178.5909506,167.551473
